H_TEAM,A_TEAM,GENDER,NUM_F,NUM_M,HALF,SET_NUM,SET_TIME,HOME_RESULT,FINISH,H_HITS,A_HITS,H_THROW,A_THROW,H_CATCH,A_CATCH,H_OUTS,A_OUTS,H_BLOCK,A_BLOCK,ACCURACY,H_BLOCK_PCT,A_BLOCK_PCT,H_CATCH_PCT,A_CATCH_PCT,PACE
Czechia,France,F,6,0,1,8,3:00,L,timed out,2,4,19,10,0,1,5,2,2,4,20.69%,20.00%,21.05%,0.00%,5.26%,9.67
Czechia,Sweden,F,6,0,1,3,2:50,L,eliminated,2,5,13,18,1,2,7,3,4,1,22.58%,22.22%,7.69%,5.56%,15.38%,10.94
Germany,Netherlands,M,0,6,2,1,2:54,W,eliminated,2,1,13,9,4,5,6,3,1,1,13.64%,11.11%,7.69%,44.44%,38.46%,7.59
Argentina,Switzerland,F,6,0,1,4,3:00,L,timed out,2,5,15,10,0,0,5,2,0,6,28.00%,0.00%,40.00%,0.00%,0.00%,8.33
Argentina,Switzerland,F,6,0,1,6,3:00,L,timed out,0,3,12,20,1,1,3,1,2,3,9.38%,10.00%,25.00%,5.00%,8.33%,10.67
Canada,Wales,M,0,6,1,2,2:54,L,eliminated,5,5,16,11,0,1,6,5,1,1,37.04%,9.09%,6.25%,0.00%,6.25%,9.31
England,Ireland,Mix,3,3,2,3,2:54,W,eliminated,5,5,18,17,0,1,5,7,2,2,28.57%,11.76%,11.11%,0.00%,5.56%,12.07
Australia,Sweden,Mix,3,3,1,2,2:54,W,eliminated,5,3,16,12,1,0,3,6,2,1,28.57%,16.67%,6.25%,8.33%,0.00%,9.66
Austria,Northern Ireland,M,0,6,1,1,2:55,W,eliminated,4,4,16,17,0,0,4,6,1,0,24.24%,5.88%,0.00%,0.00%,0.00%,11.31
Austria,Croatia,Mix,3,3,2,2,2:55,L,eliminated,4,6,15,14,0,0,6,5,0,2,34.48%,0.00%,13.33%,0.00%,0.00%,9.94
Belgium,Wales,F,6,0,1,7,2:55,L,timed out,3,3,14,15,0,1,4,3,2,2,20.69%,13.33%,14.29%,0.00%,7.14%,9.94
Germany,Northern Ireland,F,6,0,1,2,3:00,T,timed out,3,2,16,18,1,1,3,4,2,3,14.71%,11.11%,18.75%,5.56%,6.25%,11.33
Italy,United States,F,6,0,1,7,2:56,W,eliminated,4,1,9,11,2,0,1,6,1,2,25.00%,9.09%,22.22%,18.18%,0.00%,6.82
Czechia,Sweden,F,6,0,1,5,2:56,W,eliminated,6,3,15,12,0,0,3,6,3,0,33.33%,25.00%,0.00%,0.00%,0.00%,9.2
Australia,Sweden,F,6,0,1,6,3:00,L,timed out,0,5,12,14,1,0,5,1,3,2,19.23%,21.43%,16.67%,7.14%,0.00%,8.67
Belgium,Scotland,F,6,0,1,1,3:00,W,timed out,3,1,16,12,1,0,1,4,0,1,14.29%,0.00%,6.25%,8.33%,0.00%,9.33
Belgium,Scotland,F,6,0,1,3,3:00,T,timed out,3,4,16,20,1,0,4,4,2,0,19.44%,10.00%,0.00%,5.00%,0.00%,12
Netherlands,Switzerland,F,6,0,2,6,2:57,W,eliminated,3,5,16,16,3,0,5,6,1,1,25.00%,6.25%,6.25%,18.75%,0.00%,10.85
England,Wales,F,6,0,2,4,2:57,W,eliminated,4,2,16,19,2,0,2,6,5,0,17.14%,26.32%,0.00%,10.53%,0.00%,11.86
Belgium,Italy,F,6,0,2,6,2:57,L,eliminated,4,6,14,17,0,0,6,4,0,2,32.26%,0.00%,14.29%,0.00%,0.00%,10.51
Argentina,Northern Ireland,F,6,0,1,3,3:00,L,timed out,1,4,21,19,0,1,5,1,0,5,12.50%,0.00%,23.81%,0.00%,4.76%,13.33
Australia,Canada,M,0,6,2,1,2:57,W,eliminated,3,4,12,10,2,3,2,0,1,0,31.82%,10.00%,0.00%,20.00%,25.00%,7.46
France,Puerto Rico,M,0,6,1,1,2:57,L,eliminated,3,6,14,16,0,0,6,3,0,0,30.00%,0.00%,0.00%,0.00%,0.00%,10.17
Australia,Spain,F,6,0,2,4,2:58,L,eliminated,2,4,20,22,2,4,8,4,4,1,14.29%,18.18%,5.00%,9.09%,20.00%,14.16
Czechia,Spain,Mix,3,3,2,7,2:58,L,eliminated,3,4,18,16,1,2,6,4,1,3,20.59%,6.25%,16.67%,6.25%,11.11%,11.46
Scotland,United States,F,6,0,1,1,3:00,L,timed out,3,2,13,12,0,0,2,3,2,3,20.00%,16.67%,23.08%,0.00%,0.00%,8.33
Scotland,United States,F,6,0,1,6,3:00,L,timed out,3,4,14,15,0,1,5,3,1,6,24.14%,6.67%,42.86%,0.00%,7.14%,9.67
Australia,Belgium,Mix,3,3,1,5,2:58,W,eliminated,5,2,17,21,1,0,2,6,7,5,18.42%,33.33%,29.41%,4.76%,0.00%,12.81
Czechia,France,F,6,0,1,3,2:58,L,eliminated,2,7,19,18,1,0,7,3,4,3,24.32%,22.22%,15.79%,5.56%,0.00%,12.47
Czechia,Wales,Mix,3,3,2,3,2:59,L,eliminated,2,6,12,14,0,0,6,2,2,3,30.77%,14.29%,25.00%,0.00%,0.00%,8.72
Mexico,Netherlands,F,6,0,1,7,3:00,L,timed out,3,5,18,19,0,0,5,3,2,4,21.62%,10.53%,22.22%,0.00%,0.00%,12.33
Northern Ireland,Switzerland,F,6,0,1,5,3:00,T,timed out,2,2,16,18,0,0,2,2,3,1,11.76%,16.67%,6.25%,0.00%,0.00%,11.33
Northern Ireland,Switzerland,F,6,0,1,6,3:00,W,timed out,4,3,13,18,1,1,4,5,3,0,22.58%,16.67%,0.00%,5.56%,7.69%,10.33
